	KMV_375MS_1	KMV_375MS_2	KMV_375MS_3	KMV_375MS_4	KMV_400FS_1	KMV_400FS_2	KMV_400FS_3	KMV_400FS_4	KMV_404MA_1	KMV_404MA_2	KMV_404MA_3	KMV_404MA_4	KMV_415FS_1	KMV_415FS_2	KMV_415FS_3	KMV_415FS_4	KMV_417FA_1	KMV_417FA_2	KMV_417FA_3	KMV_417FA_4	KMV_446MS_1	KMV_446MS_2	KMV_446MS_3	KMV_446MS_4	KMV_450FA_1	KMV_450FA_2	KMV_450FA_3	KMV_450FA_4	KMV_452MA_1	KMV_452MA_2	KMV_452MA_3	KMV_452MA_4
Blautia_sp._MarseilleP3087	395	0	280	550	250	270	386	451	359	2495	104	227	212	236	337	295	351	309	351	357	0	182	0	299	368	349	304	440	0	121	114	0
Blautia_sp._MarseilleP3387	79	0	85	0	81	119	127	81	3737	5953	10438	7560	178	194	450	344	64	248	151	159	1065	394	465	130	612	534	691	418	0	932	1339	711
Fusicatenibacter_saccharivorans	1471	170	634	0	0	71	85	112	251	333	245	138	332	232	341	281	99	0	0	0	381	1295	142	1024	2152	1915	2298	1357	0	1347	1658	1182
Gemmiger_formicilis	0	0	641	189	99	127	178	256	1045	421	590	1055	96	98	137	117	294	457	921	194	0	0	0	0	316	624	371	155	3298	768	2656	188
Blautia_sp._MC32	546	0	449	299	193	231	242	422	51	0	0	0	0	39	60	51	716	565	594	606	0	0	0	0	265	227	254	177	0	220	134	205
Butyricicoccus_sp._K4410MGS46	170	97	210	201	214	240	252	252	62	0	0	417	134	142	221	142	153	174	170	122	170	146	130	134	188	209	224	152	0	197	0	303
Butyricicoccus_sp._N15MGS46	133	66	169	164	197	240	198	223	64	0	0	393	97	98	149	101	169	178	174	124	165	127	136	116	160	173	179	124	0	184	0	240
Ruminococcus_lactaris	430	256	161	108	140	154	160	187	0	0	0	0	254	228	381	312	263	510	406	381	0	0	0	0	0	0	0	150	0	0	0	298
Blautia_provencensis	310	0	355	142	245	181	223	280	0	0	0	0	466	312	448	367	701	685	637	747	0	0	0	0	140	109	109	59	0	158	102	135
Dorea_formicigenerans	0	181	535	0	81	134	104	84	0	718	350	0	155	154	195	210	194	351	432	204	0	0	0	262	143	133	161	108	0	0	896	0
Ruminococcus_torques	0	131	106	0	85	106	73	85	855	1386	4218	3165	105	106	125	126	249	318	365	163	140	116	106	303	158	128	359	0	795	336	354	0
Ruminococcus_sp._DJFVR70k1	117	0	170	0	0	0	0	0	948	1524	2088	1761	0	0	140	109	0	0	0	0	463	213	302	0	841	662	1059	676	0	755	923	444
Intestinibacter_bartlettii	64	62	272	0	0	0	0	0	122	1655	171	327	0	0	0	0	129	101	186	98	363	250	417	225	540	565	580	360	56	688	0	729
Clostridium_clostridioforme	475	215	202	155	413	0	0	0	0	0	0	0	86	65	93	78	0	0	0	0	720	1661	340	397	422	407	423	257	0	321	352	279
Clostridium_disporicum	654	64	85	201	0	0	0	0	327	309	282	502	0	57	0	0	179	267	237	119	0	0	0	0	671	507	601	509	379	176	126	0
Bacteroides_dorei	82	148	142	131	10076	10139	9219	8730	74	0	84	0	0	68	60	72	6721	4346	3475	4841	658	3442	524	3757	75	57	71	0	0	0	75	80
Bacteroides_ovatus	0	5916	2919	2856	2309	2053	2675	2259	0	0	0	0	68	70	81	69	1570	1260	1206	1260	2802	1192	1587	4366	0	57	0	0	0	0	0	0
Coprococcus_comes	0	628	401	0	132	274	153	207	0	0	0	0	129	80	134	123	71	102	45	50	448	125	471	314	0	0	0	0	4760	0	0	0
Collinsella_aerofaciens	225	142	147	149	0	0	0	0	0	0	0	0	171	209	267	310	152	260	270	227	341	210	434	227	0	0	0	0	0	0	0	0
Paeniclostridium_sordellii	4049	122	0	2362	0	0	0	0	2702	1298	3203	2118	65	0	72	0	0	0	0	0	0	0	0	0	575	1005	566	755	257	395	172	335
Roseburia_faecis	0	0	0	0	0	0	0	0	659	949	190	533	933	1040	851	764	1271	1344	1290	638	0	0	0	117	133	203	176	0	0	0	0	0
Lactobacillus_murinus	60	51	52	49	53	48	0	0	64	51	69	54	89	95	77	80	0	133	110	0	0	0	0	0	45	43	55	25	67	50	0	66
Bacteroides_intestinalis	45	6919	3390	7906	7787	4883	7242	5895	42	0	0	0	44	46	49	53	97	76	79	86	891	6367	1162	77	39	42	41	0	0	0	44	0
Bacteroides_fragilis	0	5531	5305	4713	225	205	254	221	0	65	0	0	29	0	0	0	535	1114	723	746	1252	525	690	931	0	0	0	0	0	0	0	0
Eubacterium_coprostanoligenes	0	0	0	0	0	0	0	0	189	308	261	172	73	44	63	79	141	245	288	102	0	0	0	0	76	82	89	33	0	0	74	47
Marseillibacter_massiliensis	388	335	178	0	0	48	0	0	0	0	0	0	113	142	151	248	200	146	213	152	0	0	0	0	178	104	222	42	696	0	0	0
Clostridium_paraputrificum	0	0	0	0	65	95	185	108	448	320	437	423	173	105	164	183	0	41	102	0	0	0	0	0	40	79	51	42	0	0	0	0
Holdemania_massiliensis	312	259	179	181	131	163	112	90	0	0	0	0	0	0	0	0	0	0	0	0	135	95	119	60	0	0	0	0	380	254	367	302
Eggerthella_lenta	136	0	0	112	59	83	0	0	0	0	0	0	65	61	88	62	0	0	0	0	81	53	77	67	0	0	0	0	254	284	349	335
Roseburia_sp._UNKMGS15	384	43	231	0	0	0	0	0	0	0	0	0	65	56	105	68	0	0	0	0	0	103	0	85	619	511	699	310	0	914	1297	756
Roseburia_sp._831b	0	0	0	0	0	0	0	0	726	745	713	493	1095	1267	1091	852	0	0	0	0	0	0	0	0	216	263	176	0	0	0	0	0
Clostridium_sp._BGC151	770	0	0	0	0	0	0	0	246	207	232	264	0	0	0	0	0	173	155	101	0	0	0	0	419	334	372	246	144	0	0	0
Subdoligranulum_variabile	0	0	339	0	0	0	0	0	662	274	487	761	0	0	0	0	82	108	297	0	0	0	0	0	130	298	163	114	1437	319	1224	0
Blautia_luti	0	0	557	253	0	0	133	244	0	0	0	0	159	145	201	204	0	0	0	0	0	0	0	0	133	135	152	220	0	439	587	414
Ruminococcus_bromii	0	548	0	0	0	0	0	0	0	0	0	0	109	120	85	160	322	609	509	227	0	0	0	395	348	317	476	129	0	0	0	0
Enterococcus_faecium	167	88	0	0	0	0	0	62	309	241	399	283	0	0	0	0	0	0	0	0	0	0	0	0	105	113	79	89	591	73	77	0
Eubacterium_hallii	0	0	0	0	0	32	0	58	0	0	0	0	75	56	86	74	76	118	129	85	0	0	0	0	109	126	132	74	0	0	0	0
Coprococcus_catus	0	0	0	0	0	0	0	62	0	269	0	0	118	0	151	164	50	106	93	54	0	0	0	0	165	121	174	101	0	0	0	0
Turicibacter_sp._LA61	0	0	0	0	0	0	0	0	3464	0	0	2390	458	804	682	378	0	0	0	0	0	0	0	719	710	1084	133	652	0	0	0	0
Ruminococcus_sp._N15MGS57	0	0	0	0	0	0	0	0	0	0	0	0	49	53	0	61	154	261	227	110	0	0	0	0	227	216	361	129	0	0	0	0
Ruminococcus_sp._DJFVR52	0	0	649	0	0	0	0	119	0	0	0	0	0	0	0	0	530	475	477	594	0	0	0	0	104	93	0	169	0	300	307	390
Ruminococcus_bicirculans	2763	0	0	0	0	0	0	0	0	0	0	0	0	51	39	66	0	0	0	0	0	90	0	0	655	368	1062	75	3025	2879	2800	3259
Ruminococcus_sp._JC304	0	0	0	0	348	135	157	172	0	0	0	0	1713	1945	1977	2301	0	131	139	86	0	0	0	0	122	101	117	0	0	0	0	0
Eubacterium_eligens	0	0	0	0	0	0	0	0	65	320	0	209	0	0	0	0	0	0	0	0	0	0	0	71	104	0	157	44	93	163	351	207
Roseburia_inulinivorans	0	0	0	0	0	0	0	0	6709	2957	6061	5157	36	41	0	45	0	0	0	0	273	124	169	245	39	67	40	0	0	0	0	0
Bacteroides_uniformis	0	0	0	69	3219	3816	2728	2860	0	0	0	0	0	0	0	0	993	1932	2523	3148	4791	4722	4168	5772	0	0	0	0	0	0	0	0
Bacteroides_thetaiotaomicron	0	325	480	465	1914	1940	1751	1669	0	0	0	0	0	0	0	0	4134	3211	3808	3213	2324	2434	1508	1004	0	0	0	0	0	0	0	0
Bacteroides_stercorirosoris	0	909	0	1090	1113	700	1063	746	0	0	0	0	0	0	0	0	0	0	0	0	0	1034	0	0	0	0	0	0	0	0	0	0
Clostridium_citroniae	529	541	357	448	1381	1268	1103	804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Blautia_faecis	158	0	367	73	168	383	358	152	0	0	0	0	57	76	0	72	0	0	0	0	772	419	838	740	0	0	0	0	0	0	0	0
Flavonifractor_plautii	0	0	0	0	450	364	279	251	0	0	0	0	0	0	0	0	0	0	0	0	536	427	483	425	0	0	0	0	0	376	414	357
Escherichia_coli	246	618	219	496	543	1321	436	320	0	0	0	0	0	0	0	0	128	177	97	88	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_cellulosilyticus	0	0	0	0	231	305	268	306	0	0	0	0	0	0	0	0	0	0	0	0	3076	519	4058	0	0	0	0	0	0	0	0	0
Ruminococcus_sp._CE2	439	296	0	320	178	273	323	534	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	321	234	288	129	0	199	0	0
Clostridium_sp._FS41	236	307	195	199	725	578	517	360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_nordii	0	0	0	0	169	143	162	184	0	0	0	0	0	0	0	0	252	140	210	161	389	207	300	229	0	0	0	0	0	0	0	0
Catenibacterium_mitsuokai	0	0	0	0	0	306	0	225	0	0	0	0	0	0	0	0	0	0	217	229	380	429	386	402	0	0	0	0	0	0	0	0
Bacteroides_sp._S11	0	0	0	0	86	92	84	70	0	0	0	0	0	0	0	0	237	148	221	181	130	141	85	72	0	0	0	0	0	0	0	0
Bacteroides_xylanisolvens	0	715	1192	1004	0	0	0	0	0	0	0	0	0	0	0	0	1949	1862	1828	1660	169	121	0	247	0	0	0	0	0	0	0	0
Clostridium_tertium	146	229	0	0	116	203	175	164	869	633	1452	258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Parabacteroides_sp._D26	0	369	164	252	99	41	92	0	0	0	0	0	561	632	535	657	298	161	179	201	0	0	0	0	0	0	0	0	0	0	0	0
